|1|CAUSE|1|COULD NOT FIND TEXT
2472016001|1|CAUSE|1|The apparent cause for the failure was internal friction due to spindle rod wear, which causes the spindle rod to bind against internal components. High vibrations of the spindle rod caused friction between the rod, spring washer, and adjusting bolt. The vibration of the spindle rod while in contact with the spring washer and adjusting bolt resulted in severe wear in the form of steps on the spindle rod. The resulting frictional force occurs on the first lift and then does not repeat. The vendor's solution to the problem is to install sacrificial bronze wear sleeves along the inner diameter of the spindle rod contact points (inner diameters of the adjusting bolt, upper spring washer, and lower spring washer). The spring washers and adjusting bolt are machined to accept the bronze wear sleeves, which act as a sacrificial metal, preventing spindle wear and step formation. One-sleeve is installed in each of the spring washers and two sleeves are installed in the adjusting bolt. An extent of condition (EOC) was performed to determine where potential conditions with similar valves, design, systems, and environments could occur. The review determined that the EOC found in the failure of MS-45B is restricted to the other 19 MSSVs at Unit 2 and the 20 MSSVs at Unit 3 due to the excluive valve design. All MSSVs are exposed to high vibrations during their operating cycle during which wear can occur. Previous failures of MSSVs have included wear due to spring skewing and -setpoint drift.' Spring skewing can occur in any of the MSSVs and cause side loading frictional forces which prevent the valve from lifting. Setpoint drift can occur due to age of the components and the operating cycle it is exposed to (e.g., changes in temperature, pressure and vibrations). PAST SIMILAR S A-review was performed of LicenseeEVent Reports (LERs) for any events reporting TS prohibited conditions due to MSSV test failures.2010-002 reported two MSSV failures, one due to valve spring skew and the other due to setpoint drift. 2012-005 reported one MSSV outside the required as-found lift setpoint range due to spring skew/spindle wear. The MSSVs at Unit 2 are the same as those at Unit 3, and LERs have reported MSSV test failures at Unit 3. LER-2011-004 reported two MSSVs outside the required as-found lift setpoint ranges due to spindle wear and spring skew. LER-2013-001 reported two MSSVs outside the required as-found lift setpoint ranges due to galling around the circumference of the spindle rod as a result of vibration for one valve, and internal friction caused by foreign material between the guide bearing and spindle for the other valve.2015-002 reported three MSSVs outside the required as-found lift setpoint ranges due to internal friction from spindle rod vibration.
2472016002|1|CAUSE|1|The direct cause of the event that occurred on March 7, 2016 at approximately 10:18 hours was a loss of power to 480 Volt Bus 3A when the normal supply breaker from Station Service Transformer (SST-3) tripped on overcurrent due to excessive loads energized on Bus 3A and Bus 6A. As designed, this caused the 480 Volt AC buses to strip loads, resulting in the loss of both 21 and 22 RHR Pumps, 21 SFP Pump, lighting and various other loads. The apparent cause was inadequate guidance in 2-PT-R084C resulting in excessive loads energized on Buses 3A and 6A. Procedure 2-PT-R084C contained a precaution and limitation to limit current on the 3AT6A cross tie breaker but contained no guidelines on limiting current on the Bus 3A normal supply breaker (i.e. breaker overcurrent trip point was listed but this was for information only and there are no meters where this current can be read). At the time, SST-3 was carrying approximately 260 amps. Procedure 2-PT-R084C was subsequently revised to include a precaution and limitation to maintain SST loads less than 200 amps. The direct cause for the second transient that occurred on March 7, 2016 at approximately 11:32 hours was determined to be cracked solder connections on the 23 EDG AVR circuit card. Following a microscopic inspection of the solder joints for the magnetic amplifier by the vendor, it was determined that all nine terminals for the Ll magnetic amplifier exhibited solder cracking. Based upon the cyclic heating and cooling of the Ll magnetic amplifier, it was concluded that thermal growth of the Ll magnetic amplifier relative to the card could have caused cyclic stress on the solder joints. TherefOre, thermally-induced stress is the most likely cause of the solder joint cracks. The apparent cause was the failure to establish a PM strategy in accordance with a Part 21 notification and vendor's maintenance bulletin for the AVR card defect. Based on the intermittent nature of this failure in addition to elimination of all remaining potential causes, it is with high confidence that the cause for the overcurrent trip event which occurred on March 7, 2016 was the result of the intermittent symptoms associated with the degraded connections on the AVR assembly. This condition was recorded in the Indian Point Energy Center 
2472016003|1|CAUSE|1|     FACTU RER  E SJ 33 L200 Y 14.    q YES (If yes, complete 15.   ) 0 NO 15.       16. ABSTRACT (  ) On March 7, 2016, during a refueling outage the control switch for the 21 Main Boiler Feed water Pump (MBFP) was positioned to trip and the 21 MBFP tripped as designed but the MBFP discharge valve BFD-2-21 failed to fully close. MBFP discharge valve BFD-2-21 was declared inoperable and Technical Specification (TS) 3.7.3 (Main Feed water Isolation) Condition C (One or both MBFP discharge valves inoperable) was entered. Troubleshooting on the valve determined the close torque switch contact finger was out of position within the contact holder. This misalignment allowed the contact finger to move out of the proper position causing Motor Operated Valve (MOV) BFD-2-21 to fail to close. Direct cause was valve BFD-2-21 close torque- switch was out of position. The apparent cause was the MOV preventive maintenance procedure lacked the level of detail and direction to provide the appropriate guidance to recognize the susceptibility associated with the orientation of the close torque switch contact finger bracket opening and spreading of the "U" shape bracket. 
2472016004|1|CAUSE|1|   EP IX    X AB RPV W1 2 0 Yes 14.    q YES (If yes, complete 15.   ) O. NO 15.       _ ABSTRACT (   During a scheduled refueling outage that commenced on March 7, 2016, an inspection of the reactor vessel internals that is required by MRP-227-A was performed. As a result of the inspection, 227 baffle-former bolts were identified to have either visual anomalies or ultrasonic indications or could not be examined by ultrasonic testing. A visual inspection of the baffle-former plates and edge bolts showed no discernible material degradation or distortion. All other MRP-227-A inspections of the reactor vessel internals showed no other failures or premature degradation. The root cause of the failed baffle-former bolts is primarily Irradiation Assisted Stress Corrosion Cracking (IASCC) in combination with applied stresses and fatigue loads. Failure analyses will be conducted to confirm the cause for the degradation - of the baffle-former bolts. At the time of discovery, the unit was in a safe and stable condition with all fuel removed from the reactor vessel. The event had no impact on public health and safety.
2472016005|1|CAUSE|1|The direct cause of not testing that the MBFP tripped on an actuation signal was human error for failure to ensure testing Was established to meet new ITS SRs. The apparent cause of the error is indeterminate due to the time passed since TS conversion by Amendment 238 on November 21, 2003. A review determined the requirement to verify the trip of the MBFPs was added to the TS during the implementation of the improved TS (ITS) conversion program but the complete testing to include a MBFP trip was not added to the surveillance tests. 
2472016006|1|CAUSE|1|     FACTU RER  X FK TTC W121 Y • 1 14.  YES (If yes, complete 15.     ) q NO 15.       07 31 2016 16. ABSTRACT (  ) . On March 9, 2016, during shutdown for a refueling outage, while performing testing of the safety injection (SI) system, the Station Auxiliary Transformer (SAT) Load Tap Changer (LTC) failed to increase per design upon actuation of an SI signal. The condition was acceptable for the current mode but is unacceptable when the offsite AC electric power distribution and SI System is required to be operable. An investigation was performed and it was discovered on March 28, 2016, that the SAT control cabinet terminal blocks W105 and W106 had their links open thereby preventing proper operation of the LTC. A review of tests and Work Orders (WO) did not identify any previous failed tests or any WO with instructions to open the links. The last successful test of LTC operation was performed on February 26, 2014. The direct cause of the event was open links for the SAT LTC SI signal. The most probable apparent cause was maintenance activities by either IPEC or supplemental personnel that left the SAT states links W105 and W106 open during the 2014 spring outage (2R21). A review was performed of 42 Work Order (WO) tasks conducted during the 2014 spring outage. None of the WO tasks required work on the SAT LTC links or required work in the specific area of the states links. 
2472016007|1|CAUSE|1|       X BQ , GATE E2 5 1 Yes 14.    q YES (If yes, complete 15.   ) @ NO 15.       ABSTRACT (   On June 20, 2016, Entergy management was advised by the NRC that during a tour in containment while the unit was in Mode 4, the inspector identified two open barrier gates for the Emergency Core Cooling System (ECCS) sump.  Personnel were moving scaffolding from inside the crane wall to areas outside the crane wall through the two open barrier gates. Having both sump barrier gates open violated ECCS operability basis which requires the sump barrier system to be operable in Modes 1-4. The inspector notified the operator touring with him of the observation. The operator subsequently coached the Radiation Protection (RP) door guard to ensure that one of the gates be closed at all times. The apparent cause was a latent organizational weakness associated with the use of procedure OAP-007 (Containment Entry and Egress) which had not been communicated well within the organization.  The failure mode was personnel not being aware of all available information.  The scaffold supervisor was not aware of his requirement to serve as containment coordinator and provide the required briefing on gate closure. The RP brief was focused on the locked high radiation requirements not gate control. s included closing and securing one gate, briefing RP personnel on the event, the lessons learned and management expectations. This event will be included in all 3R19 supplemental supervisors qualifications required reading list. Procedure OAP- 007 will be revised to include a checklist for entry briefings to include GS-191 requirements. The event had no significant effect on public health and safety. 1. FACILITY NAME 2.   3.  REV NO.   Indian Point 2 05000-247 APPROVED BY OMB: NO. 3150-0104 EXPIRES: 10/31/2018 Estimated burden per response to comply with this mandatory collection request: 80 hours. Reported lessons learned are incorporated into the licensing process and fed back to industry. Send comments regarding burden estimate to the FOIA, Privacy and Information Collections Branch (T-5 F53), U.S. Nuclear Regulatory Commission, Washington, DC 20555-0001, or by intemet e-mail to Infocollects.Resource@nrc.gov, and to the Desk Officer, Office of Information and Regulatory Affairs, NEOB-10202, (3150-0104), Office of Management and Budget, Washington, DC 20503. If a means used to impose an information collection does not display a currently valid OMB control number, the NRC may not conduct or sponsor, and a person is not required to respond to, the information collection. 2016 - 007 - 00 NARRATIVE Note: The Energy Industry Identification System Codes are identified within the brackets {}. DESCRIPTION On June 20, 2016, Indian Point management was advised by the NRC that during a tour in containment {NH} while the unit was in Mode 4, the inspector identified two open barrier gates for the Emergency Core Cooling System (ECCS) {BQ} sump. Personnel were removing disassembled scaffolding from inside the crane wall on the 46 foot elevation of containment and moving it through the ECCS sump barrier gates {GATE} to areas outside the crane wall through the two open barrier gates. Having both sump barrier gates open violated ECCS operability basis which requires the sump barrier system to be operable in Modes 1-4. The plant had entered Mode 4 on July 10, 2016, at 23:30 hours. The inspector notified the operator touring with him of the observation. The operator subsequently coached the Radiation Protection (RP) door guard to ensure that one of the gates were closed at all times. No condition report recorded the event at the time. Subsequently, on June 20, 2016, after an NRC inspector advised a site manager the condition was recorded in the Indian Point Energy Center (IPEC) 
2472016008|1|CAUSE|1|The direct cause was recurring longitudinal solidification cracks that developed during welding of copper-nickel to carbon steel pipe. The primary degradation mechanism leading to the November '30, 2015 leak Was likely crevice corrosion, caused by small holidays in the internal coating at the field weld that allowed SW to contact the internal piping base metal. The corrosion promoted thinning in the affected area, which resulted in the development of a pin hole at the weakened toe of the carbon steel elbow to copper-nickel inlet nozzle field weld on the carbon steel. Surface exams performed during the RO repairs did not identify any defects. However, potential subsurface flaws would not be detected using the surface exam technique. During the RO and the June 2016 post outage repair work, repairs to the leaking indication initially used ERCuNi filler metal to restore the weld integrity. This method resulted in strain-induced longitudinal cracking in the highly restrained joint due to the relatively low tensile strength of the material, its thermal conductivity differences with carbon steel, and its susceptibility to iron dilution from steel, which can increase the tendency for brittle fracture. Standard industry practices to reduce cracking tendencies prior to joining dissimilar metals with filler material were not identified in the repair plan.
2472016009|1|CAUSE|1|   EP IX    14.    q YES (If yes, complete 15.   ) a NO 15.       ABSTRACT (   On July 6, 2016,Instrument and Control (I) technicians were preparing to perform 2-PT-2M3A (RPS Logic Train B Actuation Logic Test and Tadot). Prior to starting the test, the I technicians were unable to locate key #184 that was identified in the test as associated with the reactor trip breaker B bypass key switch. Control Room staff recommended obtaining key #183 associated with reactor trip breaker A bypass key switch to use in lieu of key #184. To ensure the key would work prior to starting the test, the train B bypass key switch was positioned by an I technician to the Defeat position. Because reactor trip Bypass Breaker B was in the racked out position, when the key switch was taken to the Defeat position, it caused the normal Reactor Trip Breaker B to open, which initiated a reactor trip (RT) and auxiliary feed water system actuation. The direct cause was an I technician turned the key interlock to defeat on switchgear Channel B Reactor Protection Logic without having the BYB Bypass breaker racked in and closed. The root cause was Indian Point personnel emphasized work culture production goals without fully recognizing the need to maintain fundamental standards and expectations for nuclear workers. Key 
2962000001|1|CAUSE|1|   NPRDS x. .. .. .. .. .. ,.. ,. .. ..   NPRDS        (15)    YES (If yes, complete   ). NO X On April 15, 2000, at 1226 hours Central Daylight time (CDT), Unit 3 received an automatic reactor scram from 70 percent power. Following the scram, the reactor mode switch was placed in the shutdown position. On April 16, 2000, at 0835 hours CDT, plant operators commenced performance of surveillance Reactor Protection System Mode Switch in Shutdown Scram and Logic System Functional Test. This test requires that the mode switch be moved out of the shutdown position. On April 17, 2000, at approximately 1735 hours CDT, following satisfactory completion of mode switch testing, it was determined that 3-SR-3.3.1.2.4, Source Range Monitor (SRM) System Count Rate and Signal to Noise Ratio Check, was not performed as required. The SR was subsequently completed at approximately 2235 hours CDT. SRMs A, B, and D were found to be operable. Following completion of the SRM system test, it was determined that the mode switch testing had been conducted in violation of an action statement for inoperable SRMs which required the mode switch to be in the shutdown position. Therefore, TVA is reporting this event in accordance with 10 CFR 50.73 (a)(2)(i)(B), as any operation or condition prohibited by the plants Technical Specifications. The root cause of this event was inadequate procedures, which resulted in misapplication of the requirements for operability of the SRMs. 
